Ingredient,UM,Preț FĂRĂ TVA,TVA %,Preț CU TVA,Actualizat,Furnizor
Dulceata de mure,kg,21.49 RON,21%,26.00 RON,2026-02-11,Lidl
Dulceata de coacaze,kg,21.49 RON,21%,26.00 RON,2026-02-11,Lidl
Dulceata de trandafiri,kg,21.49 RON,21%,26.00 RON,2026-02-11,Lidl
Dulceata de gutui,kg,21.49 RON,21%,26.00 RON,2026-02-11,Lidl
Dulceata de cirese amare,kg,21.49 RON,21%,26.00 RON,2026-02-11,Lidl
Dulceata de visine,kg,21.49 RON,21%,26.00 RON,2026-02-11,Lidl
Magiun de prune,kg,19.82 RON,11%,22.00 RON,2026-02-11,Lidl
Gem de prune,kg,19.83 RON,21%,24.00 RON,2026-02-11,Lidl
Gem de caise,kg,19.83 RON,21%,24.00 RON,2026-02-11,Lidl
Gem de afine,kg,19.83 RON,21%,24.00 RON,2026-02-11,Lidl
Gem de zmeura,kg,19.83 RON,21%,24.00 RON,2026-02-11,Lidl
Gem de capsuni,kg,19.83 RON,21%,24.00 RON,2026-02-11,Lidl
Oase vita PRODUCATOR LOCAL,kg,9.01 RON,11%,10.00 RON,2026-02-11,Selgros
Naut,kg,9.01 RON,11%,10.00 RON,2026-02-11,Lidl
Otet din vin,kg,5.41 RON,11%,6.00 RON,2026-02-11,Lidl
Bulion,kg,7.21 RON,11%,8.00 RON,2026-02-11,Lidl
Carnat proaspat,kg,22.52 RON,11%,25.00 RON,2026-02-11,Selgros
Strugurii,kg,7.21 RON,11%,8.00 RON,2026-02-11,Kaufland
Prosciutto crudo,kg,108.11 RON,11%,120.00 RON,2026-02-11,Carrefour
Branza camenbert,kg,72.07 RON,11%,80.00 RON,2026-02-11,Carrefour
Chedar,kg,54.05 RON,11%,60.00 RON,2026-02-11,Lidl
Mozzarella,kg,36.04 RON,11%,40.00 RON,2026-02-11,Carrefour
Gorgonzola dolce,kg,81.08 RON,11%,90.00 RON,2026-02-11,Carrefour
Branza de capra,kg,63.06 RON,11%,70.00 RON,2026-02-11,Carrefour
Patrunjel radacina,kg,8.11 RON,11%,9.00 RON,2026-02-11,Lidl
Ceafa afumata de casa,kg,40.54 RON,11%,45.00 RON,2026-02-11,Lidl
Salam Milano,kg,54.05 RON,11%,60.00 RON,2026-02-11,Selgros
Rosii cherry,kg,14.41 RON,11%,16.00 RON,2026-02-11,Kaufland
Otet de mere,kg,5.86 RON,11%,6.50 RON,2026-02-11,Kaufland
